it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
750200,0.5379,0.5379,-7.2789,-6.6157,0.0190,0.0159,0.8951,0.0217,0.0151,0.6145,10.00,0.200,0.690,0.800,0.0502,0.0567,0.0085,0.00317,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00122,0.00098
750400,0.5379,0.5379,-7.2789,-6.6157,0.0168,0.0122,0.7908,0.0087,0.0139,0.8180,10.00,0.200,0.690,0.800,0.0527,0.0571,0.0081,0.00293,0.00220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00244
750600,0.5379,0.5379,-6.9522,-6.8718,0.0111,0.0137,0.8342,0.0211,0.0219,0.5863,10.00,0.200,0.690,0.800,0.0500,0.0459,0.0105,0.00195,0.00269,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00269,0.00317
750800,0.5379,0.5379,-6.9522,-6.8718,0.0174,0.0167,0.8699,0.0183,0.0202,0.8928,10.00,0.200,0.690,0.800,0.0582,0.0486,0.0083,0.00195,0.00439,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00098
751000,0.5379,0.5379,-6.9522,-6.8718,0.0242,0.0180,0.9749,0.0137,0.0286,0.7454,10.00,0.200,0.690,0.800,0.0558,0.0741,0.0054,0.00073,0.00171,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00220,0.00073
751200,0.5379,0.5379,-6.8372,-6.7765,0.0163,0.0196,0.8324,0.0129,0.0107,1.0585,10.00,0.200,0.690,0.800,0.0479,0.0530,0.0107,0.00366,0.00269,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00293
751400,0.5379,0.5379,-6.8372,-6.7765,0.0140,0.0221,0.8534,0.0074,0.0133,0.7921,10.00,0.200,0.690,0.800,0.0550,0.0452,0.0090,0.00220,0.00244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00293
751600,0.5379,0.5379,-6.9847,-6.9083,0.0135,0.0154,0.7608,0.0133,0.0159,0.6610,10.00,0.200,0.690,0.800,0.0496,0.0467,0.0098,0.00269,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00269
751800,0.5379,0.5379,-6.9847,-6.9083,0.0171,0.0025,0.5518,0.0215,0.0168,0.3914,10.00,0.200,0.690,0.800,-0.0529,-0.0496,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
752000,0.5379,0.5379,-6.9847,-6.9083,0.0156,0.0169,0.8502,0.0133,0.0160,0.9133,10.00,0.200,0.690,0.800,0.0577,0.0429,0.0103,0.00244,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00342
752200,0.5379,0.5379,-6.8776,-6.7950,0.0172,0.0159,0.7964,0.0104,0.0125,0.7211,10.00,0.200,0.690,0.800,0.0541,0.0718,0.0066,0.00171,0.00195,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00098
752400,0.5379,0.5379,-6.8776,-6.7950,0.0113,0.0148,0.9846,0.0102,0.0124,0.7483,10.00,0.200,0.690,0.800,0.0613,0.0526,0.0076,0.00122,0.00464,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00073
752600,0.5379,0.5379,-6.9736,-6.8437,0.0161,0.0130,0.7900,0.0288,0.0205,0.6971,10.00,0.200,0.690,0.800,0.0472,0.0439,0.0120,0.00391,0.00415,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00293
752800,0.5379,0.5379,-6.9736,-6.8437,0.0150,0.0140,0.7741,0.0109,0.0118,0.7282,10.00,0.200,0.690,0.800,0.0576,0.0566,0.0061,0.00146,0.00146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00195
753000,0.5379,0.5379,-6.9736,-6.8437,0.0143,0.0117,0.9224,0.0189,0.0134,0.8673,10.00,0.200,0.690,0.800,0.0448,0.0376,0.0100,0.00293,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00244,0.00195
753200,0.5379,0.5379,-7.0073,-6.8211,0.0137,0.0072,0.8104,0.0183,0.0163,0.9581,10.00,0.200,0.690,0.800,0.0492,0.0399,0.0107,0.00244,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00293
